TweetID,replyToTweet,fromUser,toUser,mentions,text,createdAt,latitude,longitude,Ran,Tan
2.63039E+17,,495996445,,,watching the goonies &gt; sandy.,Mon Oct 29 22:06:16 +0000 2012,39.65166092,-75.14208984,N,Neutral
2.63041E+17,,575523705,,,After this hurricane is all said and done i might have a beach front property after all #Sandy #Hurricane,Mon Oct 29 22:15:00 +0000 2012,39.92759337,-75.01276231,P,Positive
2.62923E+17,2.62846E+17,220771756,464030182,,@lambsenglish The calm before the storm right now. Eerily quiet. Just moving to midtown hotel. Looks like you did well to leave when you did,Mon Oct 29 14:23:49 +0000 2012,40.71861,-73.99758049,P,Positive
2.63301E+17,,243923207,,,#nofilter #hurricanesandy #Hurricane2012 #sandy #Frankenstorm #Whitston @ 14th Ave &amp; Cross Island Service Rd http://t.co/Tgz9mgy2,Tue Oct 30 15:26:16 +0000 2012,40.7867281,-73.8142252,N,Neutral
2.63101E+17,,37612666,,,Next time we have a storm I'm determined to be shacked up with a dude bc i am bored to tears lol,Tue Oct 30 02:11:38 +0000 2012,40.98288187,-73.82764057,NG,Positive
2.63108E+17,,711166081,908692830,,@SandysHurricane Come To MA I don't want school!,Tue Oct 30 02:39:13 +0000 2012,42.06344586,-72.55599962,NG,Positive
2.6382E+17,,237030313,,,"All schools in #NewLondon are open on Thursday except for Winthrop. If students can't get to school, absences will be excused. #ctsandy",Thu Nov 01 01:47:54 +0000 2012,41.36721691,-72.10293948,NG,Neutral
2.63092E+17,,278271249,,,Working at home tomorrow is like having a day off. Thanks #Sandy #Frankenstorm,Tue Oct 30 01:36:36 +0000 2012,39.69908713,-75.78585198,P,Positive
2.63708E+17,2.63707E+17,325071597,366650471,,@irrspnsbledmsel yes it was smelly. Yes I believe that is #irony. How are yall holding up post storm?,Wed Oct 31 18:23:18 +0000 2012,38.44348209,-78.00475251,NG,Neutral
2.63117E+17,,314251161,,,Power's out ... my dad said it could be out for days.. so far 3 snapped telephone poles down my street #hurricanesandy,Tue Oct 30 03:16:08 +0000 2012,40.822573,-74.367422,NG,Negative
2.62731E+17,,35616518,,,Just one more train to depart from Union Station before #Sandy. http://t.co/IfZYNQNX,Mon Oct 29 01:41:56 +0000 2012,38.89163693,-77.00237042,N,Neutral
2.63152E+17,,247171647,,,vandalism or #sandy?? http://t.co/B1BoVUyx,Tue Oct 30 05:34:24 +0000 2012,39.2670208,-76.6743122,N,Neutral
2.64372E+17,,19556286,,,#SolarEnergy #SolarChargingStation #FlatironDistrict #FlatironBuilding #nyc #Sandy  @ Flatiron Building http://t.co/1HVzEHNt,Fri Nov 02 14:24:07 +0000 2012,40.74130691,-73.98935795,N,Neutral
2.6337E+17,,546378385,,,"Ah, yes- for for hurricane woes: Matt Damon with his baby. Both so cute. #babyBourne",Tue Oct 30 20:00:18 +0000 2012,40.7827791,-73.98100723,N,Neutral
2.64093E+17,2.64091E+17,480916111,15764644,,@NancyPelosi @waysmeanscmte @repsandylevin Nothing you says mean anything you are a has been! Stiff face!,Thu Nov 01 19:54:30 +0000 2012,41.36217361,-74.2918115,N,Neutral
2.63275E+17,,273126140,,,All this destruction sandy just need some good sex... To relax her soul stay safe people,Tue Oct 30 13:45:26 +0000 2012,40.8330416,-73.8853657,P,Positive
2.61986E+17,,288998664,,,there is no need to worry about hurricane sandy god is here protect us.,Sat Oct 27 00:23:37 +0000 2012,38.6970975,-75.3637974,P,Positive
2.6264E+17,,295969929,,,I really don't think this house will make it through this storm therefore I'm getting the hell out,Sun Oct 28 19:39:37 +0000 2012,40.13255502,-74.97577318,NG,Negative
2.63136E+17,,87000210,,,I think I just saw Honey Boo Boo fly by my window #sandy,Tue Oct 30 04:31:24 +0000 2012,40.71857786,-73.99420242,N,Positive
2.64387E+17,,309477109,,,FU #sandy who am I supposed to have #sundayfunday with?! #dontfuckwithmyfriends,Fri Nov 02 15:23:41 +0000 2012,40.77583188,-73.95318823,NG,Negative
2.63749E+17,,19035486,,,via @nprnews: Mayor Says NYC Marathon To Go On In Wake Of Sandy http://t.co/i400NoCA,Wed Oct 31 21:06:18 +0000 2012,40.384544,-74.103034,N,Neutral
2.69941E+17,,468678063,,,NJ AG files suits alleging storm price gouging -NorthJersey.com http://t.co/Z7HrGsrP #Riverside #Paterson #NJ,Sat Nov 17 23:13:43 +0000 2012,40.915045,-74.174488,N,Neutral
2.63048E+17,,860437916,,,@AutumnThorburn  Smh I kant swim how we gna get out this storm I kno get a napkin nd start blowing I'm gna flip a table lets get out of here,Mon Oct 29 22:42:04 +0000 2012,38.23622822,-78.15584083,NG,Negative
2.6446E+17,,16280788,,,Starbucks in lower Manhattan: overflow on stairway. #sandy #nyc http://t.co/jcLZEjmQ,Fri Nov 02 20:12:05 +0000 2012,40.74716046,-73.99335011,N,Neutral
2.63214E+17,,313032713,,,Ive got power bitches #sandylikesme,Tue Oct 30 09:42:55 +0000 2012,40.74764102,-73.5722801,P,Positive
2.50568E+17,2.50567E+17,68620335,369376620,,@08QuietStorm you too �?Tue Sep 25 12:08:52 +0000 2012,41.32025123,-72.8771528,,P,Positive
2.62195E+17,,2967161,,,"I think I'll spend my day trying to fly into the middle of #Sandy. Jewiest hurricane nam @ Santa Barbara, CA http://t.co/gpwwjBaQ",Sat Oct 27 14:12:01 +0000 2012,34.44080083,-119.8159486,P,Positive
2.64754E+17,,17243487,,,"Local friends can help help those impacted by #Sandy, by simply stopping by @walgreens and making a donation of non perishable food! #philly",Sat Nov 03 15:41:27 +0000 2012,40.24571228,-75.3381958,P,Positive
2.6225E+17,,536051325,,,Preparing outside for this hurricane with my dad,Sat Oct 27 17:49:36 +0000 2012,40.41731682,-74.15804828,N,Neutral
2.40058E+17,,502300817,,,Wesley Hills NY Mon Aug 27th AM Forecast: TODAY Chance Of T-Storm Hi 79 TONIGHT Chance Of T-Storm Lo 69,Mon Aug 27 12:09:06 +0000 2012,41.1194,-74.0479,N,Neutral
2.6339E+17,,181696500,,,"Lol, #NotThatBad RT @RochesterNews: Storm takes a toll on area trees: Between five and 10 trees were knocked down... http://t.co/SBoN463O""",Tue Oct 30 21:21:08 +0000 2012,42.9568994,-77.5976678,P,Positive
2.62903E+17,,110600047,,,No work and no school :) thank you sandy :D,Mon Oct 29 13:04:39 +0000 2012,40.8633221,-73.8487248,P,Positive
2.62718E+17,,20751477,,,"NOOOOOOOO!!!! RT @Newseum: Due to inclement weather caused by Hurricane Sandy, the Newseum will be closed Oct. 29, 2012.",Mon Oct 29 00:48:56 +0000 2012,38.91286453,-77.04441047,NG,Negative
2.62933E+17,,40122287,,,Scared of the storm and bug-eyed #chihuahua  @ Earls Beach Dancing Chihuahua Farm &amp; Puppy Palace http://t.co/SYpphHlH,Mon Oct 29 15:04:15 +0000 2012,39.36646271,-76.37892151,NG,Negative
2.6411E+17,,811633459,,,In light of recent events we are hoping to donate all the items from our proposed food drive to those affected by #HurricaneSandy #Thoughts,Thu Nov 01 21:01:14 +0000 2012,40.86250481,-74.3537585,N,Positive
2.63333E+17,,512836270,,,Hurricane Sandy...we survived!!!,Tue Oct 30 17:32:38 +0000 2012,39.18239594,-78.11631203,P,Positive
2.63389E+17,,62909099,,,This is what stir crazy looks like. #sandy  @ Sugar Hill / Harlem http://t.co/6K9D3cdE,Tue Oct 30 21:16:52 +0000 2012,40.82824542,-73.94271853,N,Neutral
2.63014E+17,,378958512,,,Everyone's so happy about no classes but I feel like its a bad thing that a mass destructive hurricane is destroying our coast,Mon Oct 29 20:27:55 +0000 2012,40.5426111,-74.81649279,NG,Negative
2.72402E+17,,19079433,,,#ibew #verizon #pseg #nj #jersey #sandy #cwa #union @ rt. 202 &amp; madisonville rd. http://t.co/2Wb7kqQq,Sat Nov 24 18:12:29 +0000 2012,40.69466782,-74.54883575,N,Neutral
2.63031E+17,2.63031E+17,73069233,436338174,,@kcollierxo sweetness =) I'm in the wrong line of work! Hurricane = Days off for most but = 60hr weeks for me! #ParamedicLife #Sandy,Mon Oct 29 21:33:54 +0000 2012,41.51213046,-72.28075082,P,Positive
2.64137E+17,,2131701,50009231,,@NTLIVE Shakespeare's Timon of Athens w/Simon Russell Beale dir by Nick Hytner. Well attended considering #Sandy http://t.co/1iH12Mfv,Thu Nov 01 22:50:49 +0000 2012,40.76188337,-73.9660344,P,Positive
2.65999E+17,2.65564E+17,881564689,124003770,,@cher why don't tou do something more productive and focus on helping Hurracain sandy victim s out,Wed Nov 07 02:06:42 +0000 2012,40.2325319,-74.7266238,NG,Negative
2.6261E+17,,21274671,,,I'm starting to think we should be more prepared for #frankenstorm. All we have is peanuts and bud light @J_VanoreIII @M_Vern21 @m_lancioni,Sun Oct 28 17:40:53 +0000 2012,39.94588405,-75.16690648,NG,Negative
2.66291E+17,,58691737,,,"If I'm babysitting in this weather, then my 3 year old is definitely dressing Snowstorm Chic! @ West Village http://t.co/suNTs2p7",Wed Nov 07 21:28:29 +0000 2012,40.73289347,-74.00063278,N,Positive
2.62773E+17,,560395657,,,Lets say hi to sandy,Mon Oct 29 04:30:10 +0000 2012,39.26683,-76.610687,P,Positive
2.63105E+17,,321666209,,,hurricane hobbies 💄😉 @ Chestertown Hall http://t.co/4uke5zyt,Tue Oct 30 02:28:14 +0000 2012,38.992772,-76.943653,P,Postitive
2.6292E+17,,560365755,,,I would be in Spanish right now&lt;&lt;&lt; #thankyousandy @YouGoGlenSCHOco @NEALatthethrone @itzshazz,Mon Oct 29 14:12:51 +0000 2012,40.2063429,-76.37256172,NG,Negative
2.63113E+17,,49944263,,,Was having a power shut down for more than 3 hours today. It came few mins back ... #Sandy,Tue Oct 30 03:00:23 +0000 2012,40.00945553,-83.01719021,NG,Positive
2.63051E+17,,103087049,,,Tune in to #CNBC at 7pm EST for live coverage of #sandy. @BillGriffeth and I anchoring the show.,Mon Oct 29 22:55:03 +0000 2012,40.89486659,-73.94238006,N,Neutral
2.63047E+17,,17042847,,,"You hopefully have more protection than a #HouseOfCards ""@KevinSpacey: Riding out the storm in Baltimore. Everyone be safe.""",Mon Oct 29 22:37:17 +0000 2012,38.90617347,-77.05708559,N,Neutral
2.50705E+17,,388020704,,,Carlisle Barracks PA Tue Sep 25th PM Forecast: TONIGHT Showers Lo 55 WEDNESDAY T-storms Hi 79,Tue Sep 25 21:16:51 +0000 2012,40.2031,-77.3136,N,Neutral
2.25634E+17,,388020704,,,"Severe Thunderstorm Warning issued for Carlisle Barracks, PA http://t.co/TfpyoF2d",Wed Jul 18 16:50:07 +0000 2012,40.2031,-77.3136,N,Neutral
2.63474E+17,,44284542,,,Despite #Sandy I'm making GREAT progress  on this report!  @ la casa de greer http://t.co/7YkOZUpH,Wed Oct 31 02:54:40 +0000 2012,40.74499893,-73.06416321,P,Positive
2.63068E+17,,776560032,,,Lmaoooo having a blast! Shoulda had a Sandy party!,Tue Oct 30 00:03:08 +0000 2012,40.8801818,-73.9059347,P,Positive
2.62005E+17,,312329858,,,Rush-hour in the laundry room. Guess everyone had the same thought power would go out during Frankenstorm.,Sat Oct 27 01:35:44 +0000 2012,40.85108,-73.94909,N,Neutral
2.63438E+17,,23685294,,,"How's this for dedication, @celtics? Sandy knocked out my power, so I'm listening on the radio in my car. Go @celtics!!!",Wed Oct 31 00:30:43 +0000 2012,40.90676431,-73.1298496,P,Positive
2.6312E+17,2.62963E+17,21337190,25073877,,"@realDonaldTrump because our President has nothing better to do than listen to your pompous, partisan demands!?!? Dude priorities #sandy",Tue Oct 30 03:29:46 +0000 2012,42.95382114,-85.63327182,NG,Negative
2.66351E+17,,222022514,,,"It's snowing in NYC! But snow here is not as pretty. #nor'easter #nyc #snow #postsandy #storm @ New York, NY http://t.co/XHEeq0Qp",Thu Nov 08 01:25:53 +0000 2012,40.75176041,-73.99846644,NG,Positive
2.63097E+17,2.63096E+17,272276207,17243487,,@martha_tweets power flickering like morse code so i turned everything off by choice. Seems to bldg by bldg issue #sandy,Tue Oct 30 01:55:24 +0000 2012,40.22747241,-75.28348784,N,Neutral
2.63082E+17,,272276207,,,Annoying power surges http://t.co/saumbxqV f'ing #sandy,Tue Oct 30 00:55:40 +0000 2012,40.22740892,-75.28353998,NG,Negative
2.61912E+17,,359478626,,,Finally got the cones..ready for this storm they say comming now. #rawthentic #allnatural #j @ The Crizzzzib http://t.co/FXBlWnvO,Fri Oct 26 19:26:44 +0000 2012,38.80191422,-76.9542923,P,Positive
2.63471E+17,,16221126,,,Anyone else keep going for the bathroom light switch even though they've had 24 hours to figure out that there's no power? #Sandy,Wed Oct 31 02:41:14 +0000 2012,40.26038541,-74.95232682,P,Positive
2.62677E+17,,17443840,,,"Be careful and heed #sandy warnings. If you live in NYC, check http://t.co/5LwNtvZl for info and instructions",Sun Oct 28 22:06:15 +0000 2012,40.70765091,-74.00803682,N,Neutral
2.62587E+17,,237961098,,,"Im already ready ;) ! Lets just hope i survive #hurricanesandy #warpedtour13 #holmdelnj #sum @ Elizabeth, NJ http://t.co/h2QoYFwY",Sun Oct 28 16:08:43 +0000 2012,40.6560893,-74.2040523,P,Positive
2.65578E+17,,211888643,,,"I know we're all frustrated after #sandy on Long Island, but be thankful for those who are working hard to restore our power/heat/lives.",Mon Nov 05 22:13:20 +0000 2012,40.8327784,-73.21403142,P,Positive
2.66209E+17,2.66209E+17,264606816,926724906,,@downdrabbithole Obama planned Sandy all along.,Wed Nov 07 16:03:50 +0000 2012,38.94921163,-76.87240152,N,Neutral
2.63315E+17,,216173628,,,Safe and sound from sandy...I know others weren't so lucky :(,Tue Oct 30 16:23:40 +0000 2012,40.00446332,-74.17260698,P,Positive
2.65509E+17,,351881148,,,Pinterest has been my best friend through sandy,Mon Nov 05 17:39:00 +0000 2012,40.31674633,-74.18643336,N,Positive
2.62999E+17,,25454410,,,I don't like the look of those cranes as #sandy is knocking on the door.#ajenglish http://t.co/XPAatE79,Mon Oct 29 19:26:32 +0000 2012,40.753811,-73.99932,NG,Negative
2.62223E+17,2.62222E+17,423006590,193026822,,@MatthewMaddox white boy I heard is gonna some sort storm shit gonna happen when,Sat Oct 27 16:03:04 +0000 2012,38.83173995,-77.41722487,N,Neutral
2.64302E+17,,191998968,123933495,,@MarisolNY ESCONDIENDOSE DE SANDY.K GATICOOOO!!! http://t.co/OTuM0NVm,Fri Nov 02 09:44:56 +0000 2012,40.8051208,-73.181492,NG,Negative
2.63077E+17,,371280537,,,Power out in Soho. #stormzilla #sandy,Tue Oct 30 00:35:53 +0000 2012,40.72762687,-74.00390123,N,Neutral
2.60901E+17,,89970721,,,#HartfordHurricanes Practice 🏈🏈🏈 @ 🏈Keney Park🏈 http://t.co/lnT9cEPA,Wed Oct 24 00:29:41 +0000 2012,41.79011917,-72.69470215,N,Neutral
2.64765E+17,,168660327,,,c'est la vie #sandy #hurricanesandy #jinngallery #afterhour #halloween #apocalypse #igdaily #be @ Wolfnights http://t.co/InOB0f8W,Sat Nov 03 16:26:12 +0000 2012,40.7200675,-73.98837183,N,Negative
2.63434E+17,,146359511,,,"I'm at Frankenstorm Apocalypse - Hurricane Sandy (New York, NY) w/ 203 others https://t.co/pRyUzHYb",Wed Oct 31 00:14:43 +0000 2012,40.79301881,-73.79379272,N,Neutral
2.62245E+17,,321106984,,,So im guessing there isnt gonna be halloween this year because of sandy? :/,Sat Oct 27 17:30:56 +0000 2012,40.62048702,-74.42263891,NG,Negative
2.62963E+17,,873918324,,,“@Stacksondeck177: #TT #PlacesOpenDuringAHurricane”👉A PAWN SHOP🙈 LOL,Mon Oct 29 17:04:10 +0000 2012,40.84943351,-73.90785414,N,Neutral
2.62339E+17,,17176155,,,Well it will be an early night. The Realtor/ soldier who has to report early tomorrow to plan &amp; prep storm support. Pray for us. #Service,Sat Oct 27 23:44:39 +0000 2012,39.32236166,-76.71548577,P,Positive
2.53473E+17,,823480117,,,@jbrookt going to do some brainstorming on where we want the house and all. But nothing really.. How about you beautiful?,Wed Oct 03 12:33:57 +0000 2012,39.4459589,-78.980935,N,Neutral
2.63072E+17,,203138814,,,"AMEN ""@Malaysia_yvonne: Bad Storms or events make you realize just how petty some arguements or fights really were. #appreciation""",Tue Oct 30 00:16:07 +0000 2012,39.3922625,-77.4313114,P,Positive
2.62963E+17,,85865867,,,Storm serge #3 we r back #ThankGod,Mon Oct 29 17:05:24 +0000 2012,39.29901713,-76.65325846,P,Positive
2.62618E+17,,255917854,,,Sandy n d east coast,Sun Oct 28 18:12:37 +0000 2012,41.16910611,-73.19427201,N,Neutral
2.62598E+17,,221569231,,,If sandy gets classes cancelled that'd be super tight butthole 👌,Sun Oct 28 16:55:14 +0000 2012,39.36570656,-76.60998059,P,Positive
